31822	00099883	Toronto Dominion Centre	Toronto Dominion Centre
40025	00099883	Toronto	Toronto
343873	00099883	kompleks handlowo-kulturalny	kompleks handlowo-kulturalny
31833	00099883	Joe Fafard	Joe Fafard
327365	00099883	kanadyjskim	kanadyjski
343872	00099883	Ludwiga Mies van der Rohe	Ludwig Mies van der Rohe
31826	00099883	Ludwiga	Ludwig
343871	00099883	Toronto Dominion Gallery of Inuit Art	Toronto Dominion Gallery of Inuit Art
31824	00099883	Toronto	Toronto
31825	00099883	Financial District	Financial District
31828	00099883	Rohe	Rohe
35712	00099883	Inuit	Inuit
343875	00100499	PZL.13 (PZL-13)	PZL.13 (PZL-13)
31836	00100499	PZL.13	PZL.13
31852	00100499	PZL.13	PZL.13
31850	00100499	PZL-13	PZL-13
31838	00100499	PZL-13	PZL-13
31849	00100499	Ministerstwo Komunikacji	Ministerstwo Komunikacji
343879	00100499	samolotu PZL.23 „Karaś”	samolot PZL.23 „Karaś”
31843	00100499	Ministerstwa Komunikacji	Ministerstwo Komunikacji
308011	00100499	PZL.23 „Karaś”	PZL.23 „Karaś”
343877	00100499	inż. Stanisław Prauss	inż. Stanisław Prauss
343880	00100499	silnikiem Pratt-Whitney Wasp	silnik Pratt-Whitney Wasp
31847	00100499	Pratt-Whitney Wasp	Pratt-Whitney Wasp
41041	00100499	Pratt-Whitney	Pratt-Whitney
31844	00100499	Stanisław Prauss	Stanisław Prauss
31845	00100499	Stanisław	Stanisław
31846	00100499	Prauss	Prauss
31839	00100499	Stanisława Praussa	Stanisław Prauss
31840	00100499	Stanisława	Stanisław
31841	00100499	Praussa	Prauss
343881	00100499	Państwowych Zakładach Lotniczych w Warszawie	Państwowe Zakłady Lotnicze w Warszawie
58827	00100499	Państwowych Zakładach Lotniczych	Państwowe Zakłady Lotnicze
35716	00100499	Warszawie	Warszawa
343883	00100500	Gmina Bov	Gmina Bov
308303	00100500	Bov	Bov
99639	00100500	UE	UE
99643	00100500	Trzeciego Świata	Trzeci Świat
99642	00100500	Skandynawii	Skandynawia
99630	00100500	Bov Kommune	Bov Kommune
99635	00100500	Bov	Bov
99640	00100500	USA	USA
99636	00100500	Padborg	Padborg
343890	00100500	gminy Aabenraa	gminy Aabenraa
99638	00100500	Danii	Dania
99637	00100500	Danii	Dania
99633	00100500	południowej Jutlandii	południowa Jutlandia
99641	00100500	Jutlandii	Jutlandia
99634	00100500	Sønderjyllands Amt	Sønderjyllands Amt
31868	00100502	Smardy Dolne	Smardy Dolne
343902	00100502	pałac w Smardach	pałac w Smardach
31870	00100502	Polsce	Polska
308314	00100502	Smardy Dolne	Smardy Dolne
343898	00100502	województwie opolskim	województwo opolskie
52969	00100502	opolskim	opolski
52970	00100502	opolskiego	opolski
343899	00100502	powiecie kluczborskim	powiat kluczborski
52971	00100502	kluczborskim	kluczborski
31877	00100502	Carla Gotharda Langhansa	Carl Gothard Langhans
32776	00100502	Carla	Carl
343900	00100502	gminie Kluczbork	gmina Kluczbork
32777	00100502	Gotharda	Gothard
308312	00100502	Kluczbork	Kluczbork
31880	00100502	Bramy Brandenburskiej	Brama Brandenburska
31881	00100502	Berlinie	Berlin
31882	00100503	Pawłówek	Pawłówek
52975	00100503	sochaczewski	sochaczewski
31885	00100503	Polsce	Polska
343904	00100503	województwie mazowieckim	województwo mazowieckie
52972	00100503	mazowieckim	mazowiecki
343907	00100503	województwa skierniewickiego	województwo skierniewickie
52973	00100503	skierniewickiego	skierniewickie
343905	00100503	powiecie sochaczewskim	powiat sochaczewski
52974	00100503	sochaczewskim	sochaczewski
343906	00100503	gminie Teresin	gmina Teresin
308315	00100503	Teresin	Teresin
31890	00100504	Park im. Tadeusza Rejtana	park im. Tadeusza Rejtana
343914	00100504	cmentarz ewangelicko-augsburski	cmentarz ewangelicko-augsburski
32012	00100504	Rady Miejskiej	Rada Miejska
31892	00100504	Tadeusza Rejtana	Tadeusz Rejtan
31893	00100504	Tadeusza	Tadeusz
31894	00100504	Rejtana	Rejtan
31891	00100504	Łodzi	Łódź
343910	00100504	Park Nowe Rokicie	Park Nowe Rokicie
31904	00100504	Nowe Rokicie	Nowe Rokicie
343916	00100504	Parkiem Skrzywana	Park Skrzywana
304137	00100504	Skrzywana	Skrzywan
31907	00100504	Łodzi	Łódź
31912	00100504	Piękną	Piękny
31913	00100504	Felsztyńskiego	Felsztyński
31909	00100504	Rejtana	Rejtan
304139	00100504	Felsztyńskiego	Felsztyński
32635	00100504	al. Politechniki	al. Politechniki
99644	00100505	Wnukowo	Wnukowo
343919	00100505	okręg miejski Wnukowo	okręg miejski Wnukowo
99651	00100505	Moskwy	Moskwa
99647	00100505	Муниципальный округ Внуково	Муниципальный округ Внуково
99650	00100505	Moskwy	Moskwa
99648	00100505	Moskwy	Moskwa
343918	00100505	Zachodniego Okręgu Administracyjnego	Zachodni Okręg Administracyjny
343922	00100505	portu lotniczego Wnukowo	port lotniczy Wnukowo
99653	00100505	Wnukowo	Wnukowo
343923	00100506	Gramatyka kombinatoryczna	Gramatyka kombinatoryczna
303757	00100506	Chomsky'ego	Chomsky
343924	00100506	gramatyka typu 0	gramatyka typu 0
343926	00100506	gramatyka rekurencyjnie przeliczalna	gramatyka rekurencyjnie przeliczalna
343927	00100506	gramatyka struktur fazowych	gramatyka struktur fazowych
343928	00100506	gramatyka bez ograniczeń	gramatyka bez ograniczeń
343929	00100507	Wieża szybowa	Wieża szybowa
99654	00100508	Peppange	Peppange
99656	00100508	Peppeng	Peppeng
99657	00100508	Luksemburgu	Luksemburg
343936	00100508	gminie Roeser	gmina Roeser
99658	00100508	Roeser	Roeser
31933	00100509	Mariusz Grabowski	Mariusz Grabowski
31934	00100509	Mariusz	Mariusz
31935	00100509	Grabowski	Grabowski
343940	00100509	Katedrze Prawa Cywilnego na KUL	Katedra Prawa Cywilnego na KUL
32016	00100509	Katedrze Prawa Cywilnego	Katedra Prawa Cywilnego
